volname: images/149__ArtAmpl=532.65_mu=70.78_Sigma=58.95_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 8
volname: images/149__ArtAmpl=537.37_mu=74.76_Sigma=51.05_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 6
volname: images/149__ArtAmpl=537.58_mu=80.51_Sigma=60.07_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 7
volname: images/154__ArtAmpl=911.95_mu=138.64_Sigma=80.26_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 3
volname: images/154__ArtAmpl=911.99_mu=132.79_Sigma=72.91_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 9
volname: images/154__ArtAmpl=914.52_mu=116.66_Sigma=80.62_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 3
volname: images/154__ArtAmpl=929.51_mu=125.23_Sigma=83.67_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 1
volname: images/154__ArtAmpl=929.55_mu=131.96_Sigma=81.68_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 5
volname: images/154__ArtAmpl=929.67_mu=137.56_Sigma=81.34_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 5
volname: images/154__ArtAmpl=929.73_mu=120.47_Sigma=75.96_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 3
volname: images/154__ArtAmpl=930.07_mu=133.76_Sigma=66.39_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 7
volname: images/154__ArtAmpl=930.24_mu=130.81_Sigma=71.09_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 3
volname: images/154__ArtAmpl=930.67_mu=122.35_Sigma=70.7_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 1
volname: images/160__ArtAmpl=339.98_mu=99.31_Sigma=29.17_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 1
volname: images/160__ArtAmpl=350.99_mu=102.25_Sigma=29.78_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 8
volname: images/160__ArtAmpl=351.81_mu=88.19_Sigma=30.1_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 5
volname: images/160__ArtAmpl=353.38_mu=85.04_Sigma=33.78_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 7
volname: images/160__ArtAmpl=353.63_mu=86.67_Sigma=26.06_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 7
volname: images/160__ArtAmpl=354.37_mu=103.54_Sigma=29.78_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 6
volname: images/160__ArtAmpl=355.45_mu=92.22_Sigma=30.86_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 6
volname: images/160__ArtAmpl=357.26_mu=83.37_Sigma=30.36_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 6
volname: images/160__ArtAmpl=357.46_mu=93.82_Sigma=31.14_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 6
volname: images/160__ArtAmpl=372.99_mu=97.27_Sigma=32.32_SigSt=4.0_Bif=92_Spl=1_Fid=13_ED_BinModel__Stack.nrrd; Score: 8
volname: images/18__ArtAmpl=182.75_mu=35.25_Sigma=12.97_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/18__ArtAmpl=185.25_mu=29.59_Sigma=13.78_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/18__ArtAmpl=185.65_mu=34.13_Sigma=11.14_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 2
volname: images/18__ArtAmpl=187.47_mu=33.26_Sigma=14.28_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/18__ArtAmpl=187.64_mu=32.05_Sigma=15.87_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 3
volname: images/18__ArtAmpl=188.13_mu=35.16_Sigma=10.99_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/18__ArtAmpl=188.67_mu=35.52_Sigma=12.14_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 4
volname: images/18__ArtAmpl=190.25_mu=32.15_Sigma=12.8_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/18__ArtAmpl=191.55_mu=33.84_Sigma=13.03_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/18__ArtAmpl=191.5_mu=33.53_Sigma=13.96_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 3
volname: images/18__ArtAmpl=191.5_mu=35.29_Sigma=14.71_SigSt=4.0_Bif=479_Spl=1_Fid=2_ED_BinModel__Stack.nrrd; Score: 1
volname: images/24__ArtAmpl=132.19_mu=35.09_Sigma=6.99_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 4
volname: images/24__ArtAmpl=132.59_mu=35.28_Sigma=6.37_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 6
volname: images/24__ArtAmpl=134.84_mu=42.55_Sigma=6.93_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 4
volname: images/24__ArtAmpl=135.09_mu=35.28_Sigma=7.71_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 1
volname: images/24__ArtAmpl=135.75_mu=38.01_Sigma=6.34_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 1
volname: images/24__ArtAmpl=137.76_mu=37.46_Sigma=7.62_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 3
volname: images/24__ArtAmpl=140.78_mu=37.42_Sigma=7.17_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 1
volname: images/24__ArtAmpl=143.83_mu=42.23_Sigma=6.34_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 3
volname: images/24__ArtAmpl=146.68_mu=39.29_Sigma=6.53_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 1
volname: images/24__ArtAmpl=147.59_mu=34.55_Sigma=7.61_SigSt=4.0_Bif=129_Spl=1_Fid=3_ED_BinModel__Stack.nrrd; Score: 4
volname: images/30__ArtAmpl=206.05_mu=34.6_Sigma=11.88_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 5
volname: images/30__ArtAmpl=207.9_mu=31.56_Sigma=13.24_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 3
volname: images/30__ArtAmpl=208.49_mu=30.22_Sigma=14.09_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 3
volname: images/30__ArtAmpl=208.57_mu=35.33_Sigma=13.9_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 6
