volname: images/A1.nrrd; Score: 1
volname: images/A2.nrrd; Score: 1
volname: images/A3.nrrd; Score: 1
volname: images/7.nrrd; Score: 5
volname: images/8.nrrd; Score: 5
volname: images/5.nrrd; Score: 9
volname: images/4.nrrd; Score: 7
volname: images/2.nrrd; Score: 6
volname: images/9.nrrd; Score: 5
volname: images/6.nrrd; Score: 1
volname: images/1.nrrd; Score: 7
volname: images/3.nrrd; Score: 5
