volname: images/set1/42__Fid=5_M07.nrrd; Score: 10
volname: images/set1/42__Fid=5_M08.nrrd; Score: 10
volname: images/set1/42__Fid=5_M09.nrrd; Score: 10
volname: images/set1/42__Fid=5_M10.nrrd; Score: 10
volname: images/set1/48__Fid=15_M01.nrrd; Score: 10
volname: images/set1/48__Fid=15_M02.nrrd; Score: 10
volname: images/set1/48__Fid=15_M03.nrrd; Score: 10
volname: images/set1/48__Fid=15_M04.nrrd; Score: 10
volname: images/set1/48__Fid=15_M05.nrrd; Score: 10
volname: images/set1/48__Fid=15_M06.nrrd; Score: 10
volname: images/set1/48__Fid=15_M07.nrrd; Score: 10
volname: images/set1/48__Fid=15_M08.nrrd; Score: 10
volname: images/set1/48__Fid=15_M09.nrrd; Score: 10
volname: images/set1/48__Fid=15_M10.nrrd; Score: 10
volname: images/set1/60__Fid=6_M01.nrrd; Score: 10
volname: images/set1/60__Fid=6_M02.nrrd; Score: 10
volname: images/set1/60__Fid=6_M03.nrrd; Score: 10
volname: images/set1/60__Fid=6_M04.nrrd; Score: 10
volname: images/set1/60__Fid=6_M05.nrrd; Score: 10
volname: images/set1/60__Fid=6_M06.nrrd; Score: 10
volname: images/set1/60__Fid=6_M07.nrrd; Score: 10
volname: images/set1/60__Fid=6_M08.nrrd; Score: 10
volname: images/set1/60__Fid=6_M09.nrrd; Score: 10
volname: images/set1/60__Fid=6_M10.nrrd; Score: 10
volname: images/set1/66__Fid=7_M01.nrrd; Score: 10
volname: images/set1/66__Fid=7_M02.nrrd; Score: 10
volname: images/set1/66__Fid=7_M03.nrrd; Score: 10
volname: images/set1/66__Fid=7_M04.nrrd; Score: 10
volname: images/set1/66__Fid=7_M05.nrrd; Score: 10
volname: images/set1/66__Fid=7_M06.nrrd; Score: 10
volname: images/set1/66__Fid=7_M07.nrrd; Score: 10
volname: images/set1/66__Fid=7_M08.nrrd; Score: 10
volname: images/set1/66__Fid=7_M09.nrrd; Score: 10
volname: images/set1/66__Fid=7_M10.nrrd; Score: 10
volname: images/set1/6__Fid=1_M01.nrrd; Score: 10
volname: images/set1/6__Fid=1_M02.nrrd; Score: 10
volname: images/set1/6__Fid=1_M03.nrrd; Score: 10
volname: images/set1/6__Fid=1_M04.nrrd; Score: 10
volname: images/set1/6__Fid=1_M05.nrrd; Score: 10
volname: images/set1/6__Fid=1_M06.nrrd; Score: 10
volname: images/set1/6__Fid=1_M07.nrrd; Score: 10
volname: images/set1/6__Fid=1_M08.nrrd; Score: 10
volname: images/set1/6__Fid=1_M09.nrrd; Score: 10
volname: images/set1/6__Fid=1_M10.nrrd; Score: 10
volname: images/set1/A1_Set1.nrrd; Score: 10
volname: images/set1/A2_Set1.nrrd; Score: 10
volname: images/set1/A3_Set1.nrrd; Score: 10
volname: images/set1/A4_Set1.nrrd; Score: 10
volname: images/set1/A5_Set1.nrrd; Score: 10
