volname: images/start.nrrd; Score: 5
volname: images/A1.nrrd; Score: 5
volname: images/A2.nrrd; Score: 9
volname: images/A3.nrrd; Score: 9
volname: images/A4.nrrd; Score: 9
volname: images/5.nrrd; Score: 9
volname: images/3.nrrd; Score: 9
volname: images/1.nrrd; Score: 9
volname: images/2.nrrd; Score: 9
volname: images/4.nrrd; Score: 9
volname: images/end.nrrd; Score: 9
