6__Fid=1_M4.nrrd; Score: 6
6__Fid=1_M5.nrrd; Score: 6
6__Fid=1_M6.nrrd; Score: 7
6__Fid=1_M7.nrrd; Score: 4
6__Fid=1_M8.nrrd; Score: 3
6__Fid=1_M9.nrrd; Score: 2
A1.nrrd; Score: 10
A2.nrrd; Score: 2
A3.nrrd; Score: 6
A4.nrrd; Score: 1
A5.nrrd; Score: 1
start.nrrd; Score: 5
